"ID","REMOTE_ID","AMBIENT_TEMPERATURE","AIR_PRESSURE","HUMIDITY","CREATED"
"397","12","17.74","1015.42","55.86","2021-06-23 09:14:28"
"398","12","17.79","1015.42","55.89","2021-06-23 09:14:28"
"399","12","17.79","1015.45","55.64","2021-06-23 09:14:28"
"400","12","17.82","1015.47","55.68","2021-06-23 09:14:28"
"401","12","17.84","1015.46","55.19","2021-06-23 09:14:28"
"402","12","17.83","1015.48","55.17","2021-06-23 09:14:28"
"403","12","17.80","1015.41","55.26","2021-06-23 09:14:28"
"404","12","17.81","1015.45","55.34","2021-06-23 09:14:28"
"405","12","17.82","1015.42","55.72","2021-06-23 09:14:28"
"406","12","17.81","1015.37","55.19","2021-06-23 09:14:28"
"407","12","17.83","1015.43","55.22","2021-06-23 09:14:28"
"408","12","17.85","1015.47","55.33","2021-06-23 09:14:28"
"409","12","17.84","1015.42","55.09","2021-06-23 09:14:28"
"410","12","17.86","1015.39","55.02","2021-06-23 09:14:28"
"411","12","17.86","1015.43","55.02","2021-06-23 09:14:28"
"412","12","17.89","1015.44","55.09","2021-06-23 09:14:28"
"413","12","17.91","1015.44","54.97","2021-06-23 09:14:28"
"414","12","17.91","1015.44","55.00","2021-06-23 09:14:28"
"415","12","17.97","1015.44","54.66","2021-06-23 09:14:28"
"416","12","17.96","1015.39","54.44","2021-06-23 09:14:28"
"417","12","17.93","1015.48","54.45","2021-06-23 09:14:28"
"418","12","17.94","1015.44","54.65","2021-06-23 09:14:28"
"419","12","17.94","1015.45","54.60","2021-06-23 09:14:28"
"420","12","17.99","1015.40","54.86","2021-06-23 09:14:28"
"421","12","17.99","1015.43","54.99","2021-06-23 09:14:28"
